position,target,model,is_baseline,mae,rmse,spearman,folds
WR,carries,previous_season_per_game,true,1.1437384943108122,3.0381213361564607,0.4904133057728768,8
RB,fantasy_points_ppr,previous_season_total,true,35.86240706383719,58.252037572492924,0.6062378868203372,8
RB,receptions,elastic_net,false,7.15885947573279,11.103360764944087,0.7128651919108635,8
TE,targets,previous_season_per_game,true,14.520460499615806,22.397493272437973,0.5877249213169023,8
WR,targets,previous_season_per_game,true,19.787566708500158,29.447109640598203,0.6373474536448192,8
QB,interceptions,ridge_baseline,true,2.5693859011083098,3.569018918910915,0.6207771451112416,8
QB,passing_yards,ridge,false,687.7743663958408,984.3276925386737,0.7170831551105372,8
RB,receptions,ridge,false,7.2246716435477225,10.94588905101159,0.7249598782046773,8
WR,receiving_tds,three_year_weighted_average,true,1.1896825427379174,2.097308096627049,0.6035774165658732,8
TE,receptions,ridge,false,8.967041776919912,13.1153118905431,0.7422017507869934,8
QB,rushing_tds,ridge,false,0.7632126417610359,1.4545727517651859,0.5982281774072042,8
RB,rushing_yards,three_year_weighted_average,true,145.3004501031388,248.54399619972614,0.6058088187894144,8
QB,completions,ridge,false,61.503630453828194,87.20853300151018,0.7193494121317067,8
QB,rushing_tds,three_year_weighted_average,true,0.7567251848265968,1.5277561503158668,0.5283425769790362,8
QB,carries,ridge_baseline,true,10.792087752005662,17.394006487008642,0.6715636812195112,8
TE,fantasy_points_ppr,previous_season_total,true,25.60473668850707,39.65133956556906,0.6028651825773901,8
RB,carries,previous_season_total,true,34.07752893519018,56.49289354543148,0.5924044116473879,8
WR,receiving_tds,ridge,false,1.094159291175187,1.6601741434967374,0.6828700870651628,8
WR,receptions,historical_median_comparable_opportunity,true,11.016813501728969,19.698731235299547,0.653756258559907,8
QB,rushing_tds,elastic_net,false,0.7477862130843232,1.4733642878876392,0.5762944621934319,8
RB,receiving_tds,ridge_baseline,true,0.46513918274203264,0.8478149949269607,0.4473455925755907,8
QB,passing_yards,ridge_baseline,true,695.5815448569355,1023.3744977949289,0.6602785630505331,8
TE,receiving_yards,previous_season_per_game,true,107.0628582691876,169.24970246398948,0.5985257676635848,8
RB,rushing_yards,elastic_net,false,135.3064429349592,214.04940302507498,0.7052983855138548,8
QB,pass_attempts,previous_season_per_game,true,109.18568819966204,170.9596126210294,0.5756861645271591,8
RB,receiving_yards,historical_median_comparable_opportunity,true,53.79245002865859,109.51546312112498,0.5852713478608215,8
TE,fantasy_points_ppr,ridge,false,23.097015610388716,33.58906985381471,0.7404503462300958,8
TE,receptions,historical_median_comparable_opportunity,true,9.432823681880425,16.79137330887497,0.5732684806332038,8
TE,fantasy_points_ppr,position_age_group_average,true,38.73167299876041,52.78184174544153,0.187832180838473,8
QB,pass_attempts,historical_median_comparable_opportunity,true,89.76506446737609,166.22019784980338,0.6225604505249844,8
TE,rushing_tds,elastic_net,false,0.042620599278898906,0.3004549821342469,0.16690290932555774,8
